s1Ix,s2Ix,keyCount_f,keyCount_h,keyCount_v,keyCount_b,trialCorrect,trialLabel,trialLabelAbbrev,trialFeedback
0,0,0,0,1,1,FALSE,"stop-left_{respond both, other finger}",SL_RBO,try to stop other left finger
0,0,0,0,1,0,FALSE,"stop-left_{respond left, other finger}",SL_RLO,you must continue other left finger
0,0,0,0,0,1,FALSE,"stop-left_{respond right, other finger}",SL_RRO,you must continue other finger
0,0,0,0,0,0,FALSE,stop-left_{no response),SL_NR,you must continue right
1,0,0,0,1,1,FALSE,stop-left_{respond both},SL_RB,try to stop left
1,0,0,0,1,0,FALSE,stop-left_{respond left},SL_RL,you must continue other hand
1,0,0,0,0,1,TRUE,stop-left_{respond right},SL_RR,correct
1,0,1,1,0,0,FALSE,"stop-left_{respond both, other finger}",SL_RBO,try to stop other left finger
1,0,1,0,0,0,FALSE,"stop-left_{respond left, other finger}",SL_RLO,you must continue other left finger
1,0,0,1,0,0,FALSE,"stop-left_{respond right, other finger}",SL_RRO,you must continue other finger
1,0,0,0,0,0,FALSE,stop-left_{no response),SL_NR,you must continue right
2,0,1,1,0,0,FALSE,stop-left_{respond both},SL_RB,try to stop left
2,0,1,0,0,0,FALSE,stop-left_{respond left},SL_RL,you must continue other hand
2,0,0,1,0,0,TRUE,stop-left_{respond right},SL_RR,correct
2,0,0,0,1,1,FALSE,"stop-left_{respond both, other finger}",SL_RBO,try to stop other left finger
2,0,0,0,1,0,FALSE,"stop-left_{respond left, other finger}",SL_RLO,you must continue other left finger
2,0,0,0,0,1,FALSE,"stop-left_{respond right, other finger}",SL_RRO,you must continue other finger
2,0,0,0,0,0,FALSE,stop-left_{no response),SL_NR,you must continue right
3,0,0,0,1,1,FALSE,stop-left_{respond both},SL_RB,try to stop left
3,0,0,0,1,0,FALSE,stop-left_{respond left},SL_RL,you must continue other hand
3,0,0,0,0,1,TRUE,stop-left_{respond right},SL_RR,correct
3,0,1,1,0,0,FALSE,"stop-left_{respond both, other finger}",SL_RBO,try to stop other left finger
3,0,1,0,0,0,FALSE,"stop-left_{respond left, other finger}",SL_RLO,you must continue other left finger
3,0,0,1,0,0,FALSE,"stop-left_{respond right, other finger}",SL_RRO,you must continue other finger
3,0,0,0,0,0,FALSE,stop-left_{no response),SL_NR,you must continue right
4,0,1,1,0,0,FALSE,stop-left_{respond both},SL_RB,try to stop left
4,0,1,0,0,0,FALSE,stop-left_{respond left},SL_RL,you must continue other hand
4,0,0,1,0,0,TRUE,stop-left_{respond right},SL_RR,correct
4,0,0,0,1,1,FALSE,"stop-left_{respond both, other finger}",SL_RBO,try to stop other left finger
4,0,0,0,1,0,FALSE,"stop-left_{respond left, other finger}",SL_RLO,you must continue other left finger
4,0,0,0,0,1,FALSE,"stop-left_{respond right, other finger}",SL_RRO,you must continue other finger
4,0,0,0,0,0,FALSE,stop-left_{no response),SL_NR,you must continue right
5,0,0,0,1,1,FALSE,stop-left_{respond both},SL_RB,try to stop left
5,0,0,0,1,0,FALSE,stop-left_{respond left},SL_RL,you must continue other hand
5,0,0,0,0,1,TRUE,stop-left_{respond right},SL_RR,correct
5,0,1,1,0,0,FALSE,"stop-left_{respond both, other finger}",SL_RBO,try to stop other left finger
5,0,1,0,0,0,FALSE,"stop-left_{respond left, other finger}",SL_RLO,you must continue other left finger
5,0,0,1,0,0,FALSE,"stop-left_{respond right, other finger}",SL_RRO,you must continue other finger
5,0,0,0,0,0,FALSE,stop-left_{no response),SL_NR,you must continue right
6,0,1,1,0,0,FALSE,stop-left_{respond both},SL_RB,try to stop left
6,0,1,0,0,0,FALSE,stop-left_{respond left},SL_RL,you must continue other hand
6,0,0,1,0,0,TRUE,stop-left_{respond right},SL_RR,correct
6,0,0,0,1,1,FALSE,"stop-left_{respond both, other finger}",SL_RBO,try to stop other left finger
6,0,0,0,1,0,FALSE,"stop-left_{respond left, other finger}",SL_RLO,you must continue other left finger
6,0,0,0,0,1,FALSE,"stop-left_{respond right, other finger}",SL_RRO,you must continue other finger
6,0,0,0,0,0,FALSE,stop-left_{no response),SL_NR,you must continue right
7,0,0,0,1,1,FALSE,stop-left_{respond both},SL_RB,try to stop left
7,0,0,0,1,0,FALSE,stop-left_{respond left},SL_RL,you must continue other hand
7,0,0,0,0,1,TRUE,stop-left_{respond right},SL_RR,correct
7,0,1,1,0,0,FALSE,"stop-left_{respond both, other finger}",SL_RBO,try to stop other left finger
7,0,1,0,0,0,FALSE,"stop-left_{respond left, other finger}",SL_RLO,you must continue other left finger
7,0,0,1,0,0,FALSE,"stop-left_{respond right, other finger}",SL_RRO,you must continue other finger
7,0,0,0,0,0,FALSE,stop-left_{no response),SL_NR,you must continue right
8,0,1,1,0,0,FALSE,stop-left_{respond both},SL_RB,try to stop left
8,0,1,0,0,0,FALSE,stop-left_{respond left},SL_RL,you must continue other hand
8,0,0,1,0,0,TRUE,stop-left_{respond right},SL_RR,correct
8,0,0,0,1,1,FALSE,"stop-left_{respond both, other finger}",SL_RBO,try to stop other left finger
8,0,0,0,1,0,FALSE,"stop-left_{respond left, other finger}",SL_RLO,you must continue other left finger
8,0,0,0,0,1,FALSE,"stop-left_{respond right, other finger}",SL_RRO,you must continue other finger
8,0,0,0,0,0,FALSE,stop-left_{no response),SL_NR,you must continue right
9,0,0,0,1,1,FALSE,stop-left_{respond both},SL_RB,try to stop left
9,0,0,0,1,0,FALSE,stop-left_{respond left},SL_RL,you must continue other hand
9,0,0,0,0,1,TRUE,stop-left_{respond right},SL_RR,correct
9,0,1,1,0,0,FALSE,"stop-left_{respond both, other finger}",SL_RBO,try to stop other left finger
9,0,1,0,0,0,FALSE,"stop-left_{respond left, other finger}",SL_RLO,you must continue other left finger
9,0,0,1,0,0,FALSE,"stop-left_{respond right, other finger}",SL_RRO,you must continue other finger
9,0,0,0,0,0,FALSE,stop-left_{no response),SL_NR,you must continue right
0,1,1,1,0,0,FALSE,stop-right_{respond both},SR_RB,try to stop right
0,1,1,0,0,0,TRUE,stop-right_{respond left},SR_RL,correct
0,1,0,1,0,0,FALSE,stop-right_{respond right},SR_RR,you must continue other hand
0,1,0,0,1,1,FALSE,"stop-right_{respond both, other finger}",SR_RBO,try to stop other right finger
0,1,0,0,1,0,FALSE,"stop-right_{respond left, other finger}",SR_RLO,you must continue other finger
0,1,0,0,0,1,FALSE,"stop-right_{respond right, other finger}",SR_RRO,you must continue other right finger
0,1,0,0,0,0,FALSE,stop-right_{no response),SR_NR,you must continue left
1,1,0,0,1,1,FALSE,stop-right_{respond both},SR_RB,try to stop right
1,1,0,0,1,0,TRUE,stop-right_{respond left},SR_RL,correct
1,1,0,0,0,1,FALSE,stop-right_{respond right},SR_RR,you must continue other hand
1,1,1,1,0,0,FALSE,"stop-right_{respond both, other finger}",SR_RBO,try to stop other right finger
1,1,1,0,0,0,FALSE,"stop-right_{respond left, other finger}",SR_RLO,you must continue other finger
1,1,0,1,0,0,FALSE,"stop-right_{respond right, other finger}",SR_RRO,you must continue other right finger
1,1,0,0,0,0,FALSE,stop-right_{no response),SR_NR,you must continue left
2,1,1,1,0,0,FALSE,stop-right_{respond both},SR_RB,try to stop right
2,1,1,0,0,0,TRUE,stop-right_{respond left},SR_RL,correct
2,1,0,1,0,0,FALSE,stop-right_{respond right},SR_RR,you must continue other hand
2,1,0,0,1,1,FALSE,"stop-right_{respond both, other finger}",SR_RBO,try to stop other right finger
2,1,0,0,1,0,FALSE,"stop-right_{respond left, other finger}",SR_RLO,you must continue other finger
2,1,0,0,0,1,FALSE,"stop-right_{respond right, other finger}",SR_RRO,you must continue other right finger
2,1,0,0,0,0,FALSE,stop-right_{no response),SR_NR,you must continue left
3,1,0,0,1,1,FALSE,stop-right_{respond both},SR_RB,try to stop right
3,1,0,0,1,0,TRUE,stop-right_{respond left},SR_RL,correct
3,1,0,0,0,1,FALSE,stop-right_{respond right},SR_RR,you must continue other hand
3,1,1,1,0,0,FALSE,"stop-right_{respond both, other finger}",SR_RBO,try to stop other right finger
3,1,1,0,0,0,FALSE,"stop-right_{respond left, other finger}",SR_RLO,you must continue other finger
3,1,0,1,0,0,FALSE,"stop-right_{respond right, other finger}",SR_RRO,you must continue other right finger
3,1,0,0,0,0,FALSE,stop-right_{no response),SR_NR,you must continue left
4,1,1,1,0,0,FALSE,stop-right_{respond both},SR_RB,try to stop right
4,1,1,0,0,0,TRUE,stop-right_{respond left},SR_RL,correct
4,1,0,1,0,0,FALSE,stop-right_{respond right},SR_RR,you must continue other hand
4,1,0,0,1,1,FALSE,"stop-right_{respond both, other finger}",SR_RBO,try to stop other right finger
4,1,0,0,1,0,FALSE,"stop-right_{respond left, other finger}",SR_RLO,you must continue other finger
4,1,0,0,0,1,FALSE,"stop-right_{respond right, other finger}",SR_RRO,you must continue other right finger
4,1,0,0,0,0,FALSE,stop-right_{no response),SR_NR,you must continue left
5,1,0,0,1,1,FALSE,stop-right_{respond both},SR_RB,try to stop right
5,1,0,0,1,0,TRUE,stop-right_{respond left},SR_RL,correct
5,1,0,0,0,1,FALSE,stop-right_{respond right},SR_RR,you must continue other hand
5,1,1,1,0,0,FALSE,"stop-right_{respond both, other finger}",SR_RBO,try to stop other right finger
5,1,1,0,0,0,FALSE,"stop-right_{respond left, other finger}",SR_RLO,you must continue other finger
5,1,0,1,0,0,FALSE,"stop-right_{respond right, other finger}",SR_RRO,you must continue other right finger
5,1,0,0,0,0,FALSE,stop-right_{no response),SR_NR,you must continue left
6,1,1,1,0,0,FALSE,stop-right_{respond both},SR_RB,try to stop right
6,1,1,0,0,0,TRUE,stop-right_{respond left},SR_RL,correct
6,1,0,1,0,0,FALSE,stop-right_{respond right},SR_RR,you must continue other hand
6,1,0,0,1,1,FALSE,"stop-right_{respond both, other finger}",SR_RBO,try to stop other right finger
6,1,0,0,1,0,FALSE,"stop-right_{respond left, other finger}",SR_RLO,you must continue other finger
6,1,0,0,0,1,FALSE,"stop-right_{respond right, other finger}",SR_RRO,you must continue other right finger
6,1,0,0,0,0,FALSE,stop-right_{no response),SR_NR,you must continue left
7,1,0,0,1,1,FALSE,stop-right_{respond both},SR_RB,try to stop right
7,1,0,0,1,0,TRUE,stop-right_{respond left},SR_RL,correct
7,1,0,0,0,1,FALSE,stop-right_{respond right},SR_RR,you must continue other hand
7,1,1,1,0,0,FALSE,"stop-right_{respond both, other finger}",SR_RBO,try to stop other right finger
7,1,1,0,0,0,FALSE,"stop-right_{respond left, other finger}",SR_RLO,you must continue other finger
7,1,0,1,0,0,FALSE,"stop-right_{respond right, other finger}",SR_RRO,you must continue other right finger
7,1,0,0,0,0,FALSE,stop-right_{no response),SR_NR,you must continue left
8,1,1,1,0,0,FALSE,stop-right_{respond both},SR_RB,try to stop right
8,1,1,0,0,0,TRUE,stop-right_{respond left},SR_RL,correct
8,1,0,1,0,0,FALSE,stop-right_{respond right},SR_RR,you must continue other hand
8,1,0,0,1,1,FALSE,"stop-right_{respond both, other finger}",SR_RBO,try to stop other right finger
8,1,0,0,1,0,FALSE,"stop-right_{respond left, other finger}",SR_RLO,you must continue other finger
8,1,0,0,0,1,FALSE,"stop-right_{respond right, other finger}",SR_RRO,you must continue other right finger
8,1,0,0,0,0,FALSE,stop-right_{no response),SR_NR,you must continue left
9,1,0,0,1,1,FALSE,stop-right_{respond both},SR_RB,try to stop right
9,1,0,0,1,0,TRUE,stop-right_{respond left},SR_RL,correct
9,1,0,0,0,1,FALSE,stop-right_{respond right},SR_RR,you must continue other hand
9,1,1,1,0,0,FALSE,"stop-right_{respond both, other finger}",SR_RBO,try to stop other right finger
9,1,1,0,0,0,FALSE,"stop-right_{respond left, other finger}",SR_RLO,you must continue other finger
9,1,0,1,0,0,FALSE,"stop-right_{respond right, other finger}",SR_RRO,you must continue other right finger
9,1,0,0,0,0,FALSE,stop-right_{no response),SR_NR,you must continue left
0,2,1,1,0,0,FALSE,stop-both_{respond both},SB_RB,try to stop both
0,2,1,0,0,0,FALSE,stop-both_{respond left},SB_RL,try to stop both
0,2,0,1,0,0,FALSE,stop-both_{respond right},SB_RR,try to stop both
0,2,0,0,1,1,FALSE,"stop-both_{respond both, other finger}",SB_RBO,try to stop
0,2,0,0,1,0,FALSE,"stop-both_{respond left, other finger}",SB_RLO,try to stop
0,2,0,0,0,1,FALSE,"stop-both_{respond right, other finger}",SB_RRO,try to stop
0,2,0,0,0,0,TRUE,stop-both_{no response),SB_NR,correct
1,2,0,0,1,1,FALSE,stop-both_{respond both},SB_RB,try to stop both
1,2,0,0,1,0,FALSE,stop-both_{respond left},SB_RL,try to stop both
1,2,0,0,0,1,FALSE,stop-both_{respond right},SB_RR,try to stop both
1,2,1,1,0,0,FALSE,"stop-both_{respond both, other finger}",SB_RBO,try to stop
1,2,1,0,0,0,FALSE,"stop-both_{respond left, other finger}",SB_RLO,try to stop
1,2,0,1,0,0,FALSE,"stop-both_{respond right, other finger}",SB_RRO,try to stop
1,2,0,0,0,0,TRUE,stop-both_{no response),SB_NR,correct
2,2,1,1,0,0,FALSE,stop-both_{respond both},SB_RB,try to stop both
2,2,1,0,0,0,FALSE,stop-both_{respond left},SB_RL,try to stop both
2,2,0,1,0,0,FALSE,stop-both_{respond right},SB_RR,try to stop both
2,2,0,0,1,1,FALSE,"stop-both_{respond both, other finger}",SB_RBO,try to stop
2,2,0,0,1,0,FALSE,"stop-both_{respond left, other finger}",SB_RLO,try to stop
2,2,0,0,0,1,FALSE,"stop-both_{respond right, other finger}",SB_RRO,try to stop
2,2,0,0,0,0,TRUE,stop-both_{no response),SB_NR,correct
3,2,0,0,1,1,FALSE,stop-both_{respond both},SB_RB,try to stop both
3,2,0,0,1,0,FALSE,stop-both_{respond left},SB_RL,try to stop both
3,2,0,0,0,1,FALSE,stop-both_{respond right},SB_RR,try to stop both
3,2,1,1,0,0,FALSE,"stop-both_{respond both, other finger}",SB_RBO,try to stop
3,2,1,0,0,0,FALSE,"stop-both_{respond left, other finger}",SB_RLO,try to stop
3,2,0,1,0,0,FALSE,"stop-both_{respond right, other finger}",SB_RRO,try to stop
3,2,0,0,0,0,TRUE,stop-both_{no response),SB_NR,correct
4,2,1,1,0,0,FALSE,stop-both_{respond both},SB_RB,try to stop both
4,2,1,0,0,0,FALSE,stop-both_{respond left},SB_RL,try to stop both
4,2,0,1,0,0,FALSE,stop-both_{respond right},SB_RR,try to stop both
4,2,0,0,1,1,FALSE,"stop-both_{respond both, other finger}",SB_RBO,try to stop
4,2,0,0,1,0,FALSE,"stop-both_{respond left, other finger}",SB_RLO,try to stop
4,2,0,0,0,1,FALSE,"stop-both_{respond right, other finger}",SB_RRO,try to stop
4,2,0,0,0,0,TRUE,stop-both_{no response),SB_NR,correct
5,2,0,0,1,1,FALSE,stop-both_{respond both},SB_RB,try to stop both
5,2,0,0,1,0,FALSE,stop-both_{respond left},SB_RL,try to stop both
5,2,0,0,0,1,FALSE,stop-both_{respond right},SB_RR,try to stop both
5,2,1,1,0,0,FALSE,"stop-both_{respond both, other finger}",SB_RBO,try to stop
5,2,1,0,0,0,FALSE,"stop-both_{respond left, other finger}",SB_RLO,try to stop
5,2,0,1,0,0,FALSE,"stop-both_{respond right, other finger}",SB_RRO,try to stop
5,2,0,0,0,0,TRUE,stop-both_{no response),SB_NR,correct
6,2,1,1,0,0,FALSE,stop-both_{respond both},SB_RB,try to stop both
6,2,1,0,0,0,FALSE,stop-both_{respond left},SB_RL,try to stop both
6,2,0,1,0,0,FALSE,stop-both_{respond right},SB_RR,try to stop both
6,2,0,0,1,1,FALSE,"stop-both_{respond both, other finger}",SB_RBO,try to stop
6,2,0,0,1,0,FALSE,"stop-both_{respond left, other finger}",SB_RLO,try to stop
6,2,0,0,0,1,FALSE,"stop-both_{respond right, other finger}",SB_RRO,try to stop
6,2,0,0,0,0,TRUE,stop-both_{no response),SB_NR,correct
7,2,0,0,1,1,FALSE,stop-both_{respond both},SB_RB,try to stop both
7,2,0,0,1,0,FALSE,stop-both_{respond left},SB_RL,try to stop both
7,2,0,0,0,1,FALSE,stop-both_{respond right},SB_RR,try to stop both
7,2,1,1,0,0,FALSE,"stop-both_{respond both, other finger}",SB_RBO,try to stop
7,2,1,0,0,0,FALSE,"stop-both_{respond left, other finger}",SB_RLO,try to stop
7,2,0,1,0,0,FALSE,"stop-both_{respond right, other finger}",SB_RRO,try to stop
7,2,0,0,0,0,TRUE,stop-both_{no response),SB_NR,correct
8,2,1,1,0,0,FALSE,stop-both_{respond both},SB_RB,try to stop both
8,2,1,0,0,0,FALSE,stop-both_{respond left},SB_RL,try to stop both
8,2,0,1,0,0,FALSE,stop-both_{respond right},SB_RR,try to stop both
8,2,0,0,1,1,FALSE,"stop-both_{respond both, other finger}",SB_RBO,try to stop
8,2,0,0,1,0,FALSE,"stop-both_{respond left, other finger}",SB_RLO,try to stop
8,2,0,0,0,1,FALSE,"stop-both_{respond right, other finger}",SB_RRO,try to stop
8,2,0,0,0,0,TRUE,stop-both_{no response),SB_NR,correct
9,2,0,0,1,1,FALSE,stop-both_{respond both},SB_RB,try to stop both
9,2,0,0,1,0,FALSE,stop-both_{respond left},SB_RL,try to stop both
9,2,0,0,0,1,FALSE,stop-both_{respond right},SB_RR,try to stop both
9,2,1,1,0,0,FALSE,"stop-both_{respond both, other finger}",SB_RBO,try to stop
9,2,1,0,0,0,FALSE,"stop-both_{respond left, other finger}",SB_RLO,try to stop
9,2,0,1,0,0,FALSE,"stop-both_{respond right, other finger}",SB_RRO,try to stop
9,2,0,0,0,0,TRUE,stop-both_{no response),SB_NR,correct
0,3,1,1,0,0,TRUE,ignore_{respond both},I_RB,correct
0,3,1,0,0,0,FALSE,ignore_{respond left},I_RL,you must continue both
0,3,0,1,0,0,FALSE,ignore_{respond right},I_RR,you must continue both
0,3,0,0,1,1,FALSE,"ignore_{respond both, other finger}",I_RBO,you must continue both other fingers
0,3,0,0,1,0,FALSE,"ignore_{respond left, other finger}",I_RLO,you must continue both other fingers
0,3,0,0,0,1,FALSE,"ignore_{respond right, other finger}",I_RRO,you must continue both other fingers
0,3,0,0,0,0,FALSE,ignore_{no response),I_NR,you must continue both
1,3,0,0,1,1,TRUE,ignore_{respond both},I_RB,correct
1,3,0,0,1,0,FALSE,ignore_{respond left},I_RL,you must continue both
1,3,0,0,0,1,FALSE,ignore_{respond right},I_RR,you must continue both
1,3,1,1,0,0,FALSE,"ignore_{respond both, other finger}",I_RBO,you must continue both other fingers
1,3,1,0,0,0,FALSE,"ignore_{respond left, other finger}",I_RLO,you must continue both other fingers
1,3,0,1,0,0,FALSE,"ignore_{respond right, other finger}",I_RRO,you must continue both other fingers
1,3,0,0,0,0,FALSE,ignore_{no response),I_NR,you must continue both
2,3,1,1,0,0,TRUE,ignore_{respond both},I_RB,correct
2,3,1,0,0,0,FALSE,ignore_{respond left},I_RL,you must continue both
2,3,0,1,0,0,FALSE,ignore_{respond right},I_RR,you must continue both
2,3,0,0,1,1,FALSE,"ignore_{respond both, other finger}",I_RBO,you must continue both other fingers
2,3,0,0,1,0,FALSE,"ignore_{respond left, other finger}",I_RLO,you must continue both other fingers
2,3,0,0,0,1,FALSE,"ignore_{respond right, other finger}",I_RRO,you must continue both other fingers
2,3,0,0,0,0,FALSE,ignore_{no response),I_NR,you must continue both
3,3,0,0,1,1,TRUE,ignore_{respond both},I_RB,correct
3,3,0,0,1,0,FALSE,ignore_{respond left},I_RL,you must continue both
3,3,0,0,0,1,FALSE,ignore_{respond right},I_RR,you must continue both
3,3,1,1,0,0,FALSE,"ignore_{respond both, other finger}",I_RBO,you must continue both other fingers
3,3,1,0,0,0,FALSE,"ignore_{respond left, other finger}",I_RLO,you must continue both other fingers
3,3,0,1,0,0,FALSE,"ignore_{respond right, other finger}",I_RRO,you must continue both other fingers
3,3,0,0,0,0,FALSE,ignore_{no response),I_NR,you must continue both
4,3,1,1,0,0,TRUE,ignore_{respond both},I_RB,correct
4,3,1,0,0,0,FALSE,ignore_{respond left},I_RL,you must continue both
4,3,0,1,0,0,FALSE,ignore_{respond right},I_RR,you must continue both
4,3,0,0,1,1,FALSE,"ignore_{respond both, other finger}",I_RBO,you must continue both other fingers
4,3,0,0,1,0,FALSE,"ignore_{respond left, other finger}",I_RLO,you must continue both other fingers
4,3,0,0,0,1,FALSE,"ignore_{respond right, other finger}",I_RRO,you must continue both other fingers
4,3,0,0,0,0,FALSE,ignore_{no response),I_NR,you must continue both
5,3,0,0,1,1,TRUE,ignore_{respond both},I_RB,correct
5,3,0,0,1,0,FALSE,ignore_{respond left},I_RL,you must continue both
5,3,0,0,0,1,FALSE,ignore_{respond right},I_RR,you must continue both
5,3,1,1,0,0,FALSE,"ignore_{respond both, other finger}",I_RBO,you must continue both other fingers
5,3,1,0,0,0,FALSE,"ignore_{respond left, other finger}",I_RLO,you must continue both other fingers
5,3,0,1,0,0,FALSE,"ignore_{respond right, other finger}",I_RRO,you must continue both other fingers
5,3,0,0,0,0,FALSE,ignore_{no response),I_NR,you must continue both
6,3,1,1,0,0,TRUE,ignore_{respond both},I_RB,correct
6,3,1,0,0,0,FALSE,ignore_{respond left},I_RL,you must continue both
6,3,0,1,0,0,FALSE,ignore_{respond right},I_RR,you must continue both
6,3,0,0,1,1,FALSE,"ignore_{respond both, other finger}",I_RBO,you must continue both other fingers
6,3,0,0,1,0,FALSE,"ignore_{respond left, other finger}",I_RLO,you must continue both other fingers
6,3,0,0,0,1,FALSE,"ignore_{respond right, other finger}",I_RRO,you must continue both other fingers
6,3,0,0,0,0,FALSE,ignore_{no response),I_NR,you must continue both
7,3,0,0,1,1,TRUE,ignore_{respond both},I_RB,correct
7,3,0,0,1,0,FALSE,ignore_{respond left},I_RL,you must continue both
7,3,0,0,0,1,FALSE,ignore_{respond right},I_RR,you must continue both
7,3,1,1,0,0,FALSE,"ignore_{respond both, other finger}",I_RBO,you must continue both other fingers
7,3,1,0,0,0,FALSE,"ignore_{respond left, other finger}",I_RLO,you must continue both other fingers
7,3,0,1,0,0,FALSE,"ignore_{respond right, other finger}",I_RRO,you must continue both other fingers
7,3,0,0,0,0,FALSE,ignore_{no response),I_NR,you must continue both
8,3,1,1,0,0,TRUE,ignore_{respond both},I_RB,correct
8,3,1,0,0,0,FALSE,ignore_{respond left},I_RL,you must continue both
8,3,0,1,0,0,FALSE,ignore_{respond right},I_RR,you must continue both
8,3,0,0,1,1,FALSE,"ignore_{respond both, other finger}",I_RBO,you must continue both other fingers
8,3,0,0,1,0,FALSE,"ignore_{respond left, other finger}",I_RLO,you must continue both other fingers
8,3,0,0,0,1,FALSE,"ignore_{respond right, other finger}",I_RRO,you must continue both other fingers
8,3,0,0,0,0,FALSE,ignore_{no response),I_NR,you must continue both
9,3,0,0,1,1,TRUE,ignore_{respond both},I_RB,correct
9,3,0,0,1,0,FALSE,ignore_{respond left},I_RL,you must continue both
9,3,0,0,0,1,FALSE,ignore_{respond right},I_RR,you must continue both
9,3,1,1,0,0,FALSE,"ignore_{respond both, other finger}",I_RBO,you must continue both other fingers
9,3,1,0,0,0,FALSE,"ignore_{respond left, other finger}",I_RLO,you must continue both other fingers
9,3,0,1,0,0,FALSE,"ignore_{respond right, other finger}",I_RRO,you must continue both other fingers
9,3,0,0,0,0,FALSE,ignore_{no response),I_NR,you must continue both
